extension,total_lines,max_line_length,language_bucket,test_coverage_min,test_coverage_max
.1,94,171,other,TBD,TBD
.applescript,95,73,other,TBD,TBD
.bib,30,122,other,TBD,TBD
.bnf,16,56,other,TBD,TBD
.cff,13,124,other,TBD,TBD
.cjs,7324,114135,other,TBD,TBD
.conf,42,105,other,TBD,TBD
.css,477,95,other,TBD,TBD
.csv,117,233,other,TBD,TBD
.cts,962,415,other,TBD,TBD
.flow,9294,2456,other,TBD,TBD
.html,37,76,other,TBD,TBD
.ini,3,34,other,TBD,TBD
.ipynb,140,213,other,TBD,TBD
.js,701214,114123,javascript,TBD,TBD
.json,74733,45647,other,TBD,TBD
.jsonld,3263,163,other,TBD,TBD
.jsx,252,119,javascript,TBD,TBD
.map,448,1431237,other,TBD,TBD
.md,21168,2244,other,TBD,TBD
.mjs,3934,29459,other,TBD,TBD
.mmd,36,237,other,TBD,TBD
.mts,730,415,other,TBD,TBD
.node,23210,21123,other,TBD,TBD
.patch,3,58,other,TBD,TBD
.pdf,19218,4876,other,TBD,TBD
.py,8089,178,python,TBD,TBD
.pyc,2470,1513,other,TBD,TBD
.sh,546,121,other,TBD,TBD
.tag,4,55,other,TBD,TBD
.tex,12382,934,other,TBD,TBD
.toml,10,51,other,TBD,TBD
.ts,136730,29715,typescript,TBD,TBD
.tsx,1181,232,typescript,TBD,TBD
.txt,2258,13884,other,TBD,TBD
.yaml,683,380,other,TBD,TBD
.yml,796,320,other,TBD,TBD
